instrument,price,timestamp
IE00B1XNHC34,"(7418,3,EUR)",2024-08-30T15:15:31.777Z
IE00BGV5VN51,"(116,0,EUR)",2024-08-30T15:28:01.052Z
IE00BYXYX521,"(263301,4,EUR)",2024-08-30T12:20:51.591Z
LU0489337690,"(2481,2,EUR)",2024-08-30T14:09:29.132Z
DE0005933931,"(15754,2,EUR)",2024-08-30T15:25:22.635Z
IE00BKWQ0H23,"(24805,2,EUR)",2024-08-30T13:45:54.936Z
IE00BKWQ0F09,"(2011,1,EUR)",2024-08-30T14:25:43.730Z
LU1861137484,"(8652,2,EUR)",2024-08-30T15:21:23.688Z
IE00B441G979,"(89558,3,EUR)",2024-09-02T15:09:52.480Z
IE000Y77LGG9,"(9578,2,EUR)",2024-09-02T15:11:22.908Z
IE00B1XNHC34,"(7421,3,EUR)",2024-09-02T15:25:32.629Z
IE00BGV5VN51,"(11722,2,EUR)",2024-09-02T15:28:45.816Z
IE00BYXYX521,"(259199,4,EUR)",2024-09-02T13:49:41.498Z
LU0489337690,"(24895,3,EUR)",2024-09-02T15:25:38.995Z
DE0005933931,"(15762,2,EUR)",2024-09-02T15:23:47.904Z
IE00BKWQ0F09,"(2015,1,EUR)",2024-09-02T14:05:00.971Z
IE00BKWQ0H23,"(2474,1,EUR)",2024-09-02T15:22:54.386Z
LU1861137484,"(864,1,EUR)",2024-09-02T14:19:26.397Z
IE00B441G979,"(88302,3,EUR)",2024-09-03T15:29:55.611Z
IE000Y77LGG9,"(9505,2,EUR)",2024-09-03T15:24:39.881Z
IE00B1XNHC34,"(7307,3,EUR)",2024-09-03T15:29:08.409Z
IE00BGV5VN51,"(1154,1,EUR)",2024-09-03T15:29:57.396Z
IE00BYXYX521,"(258,1,EUR)",2024-09-03T09:42:13.872Z
LU0489337690,"(24575,3,EUR)",2024-09-03T15:19:08.717Z
DE0005933931,"(15614,2,EUR)",2024-09-03T15:25:22.633Z
IE00BKWQ0F09,"(1957,1,EUR)",2024-09-03T14:42:49.626Z
IE00BKWQ0H23,"(24645,2,EUR)",2024-09-03T14:43:34.125Z
LU1861137484,"(8597,2,EUR)",2024-09-03T15:24:58.711Z
IE00B441G979,"(8732,2,EUR)",2024-09-04T13:30:03.759Z
IE000Y77LGG9,"(939,1,EUR)",2024-09-04T15:20:19.374Z
IE00B1XNHC34,"(7321,3,EUR)",2024-09-04T15:21:59.309Z
IE00BGV5VN51,"(11386,2,EUR)",2024-09-04T15:26:50.357Z
IE00BYXYX521,"(253651,4,EUR)",2024-09-04T15:24:52.111Z
LU0489337690,"(2474,2,EUR)",2024-09-04T14:03:04.290Z
DE0005933931,"(15484,2,EUR)",2024-09-04T15:29:06.018Z
IE00BKWQ0H23,"(24385,2,EUR)",2024-09-04T15:09:35.070Z
IE00BKWQ0F09,"(1947,1,EUR)",2024-09-04T13:22:41.765Z
LU1861137484,"(8496,2,EUR)",2024-09-04T14:14:14.888Z
IE00B441G979,"(87136,3,EUR)",2024-09-05T15:16:10.072Z
IE000Y77LGG9,"(9293,2,EUR)",2024-09-05T15:26:16.143Z
IE00B1XNHC34,"(7379,3,EUR)",2024-09-05T15:07:48.100Z
IE00BGV5VN51,"(11278,2,EUR)",2024-09-05T15:26:25.341Z
IE00BYXYX521,"(255551,4,EUR)",2024-09-05T14:42:23.239Z
LU0489337690,"(2522,2,EUR)",2024-09-05T15:11:07.273Z
DE0005933931,"(1549,1,EUR)",2024-09-05T15:28:43.249Z
IE00BKWQ0H23,"(2407,1,EUR)",2024-09-05T14:07:45.983Z
IE00BKWQ0F09,"(19432,2,EUR)",2024-09-05T10:06:59.843Z
LU1861137484,"(8457,2,EUR)",2024-09-05T15:08:50.582Z
IE00B441G979,"(8608,2,EUR)",2024-09-06T15:07:09.974Z
IE000Y77LGG9,"(9169,2,EUR)",2024-09-06T15:28:39.611Z
IE00B1XNHC34,"(7246,3,EUR)",2024-09-06T15:29:09.528Z
IE00BGV5VN51,"(11068,2,EUR)",2024-09-06T15:29:37.781Z
IE00BYXYX521,"(253701,4,EUR)",2024-09-06T14:01:55.403Z
LU0489337690,"(253,1,EUR)",2024-09-06T15:27:25.678Z
DE0005933931,"(1522,1,EUR)",2024-09-06T15:29:24.490Z
IE00BKWQ0F09,"(18966,2,EUR)",2024-09-06T14:58:02.689Z
IE00BKWQ0H23,"(2421,1,EUR)",2024-09-06T13:30:05.885Z
LU1861137484,"(835,1,EUR)",2024-09-06T15:29:37.732Z
IE000Y77LGG9,"(9277,2,EUR)",2024-09-09T15:22:12.297Z
IE00B441G979,"(8642,2,EUR)",2024-09-09T14:35:26.288Z
IE00B1XNHC34,"(725,2,EUR)",2024-09-09T15:16:42.957Z
IE00BGV5VN51,"(11248,2,EUR)",2024-09-09T15:29:52.075Z
IE00BYXYX521,"(250901,4,EUR)",2024-09-09T14:07:34.800Z
LU0489337690,"(2519,2,EUR)",2024-09-09T14:04:01.436Z
DE0005933931,"(1534,1,EUR)",2024-09-09T15:25:20.517Z
IE00BKWQ0H23,"(2407,1,EUR)",2024-09-09T15:00:51.572Z
IE00BKWQ0F09,"(1912,1,EUR)",2024-09-09T15:09:10.181Z
LU1861137484,"(8448,2,EUR)",2024-09-09T14:24:43.812Z
IE000Y77LGG9,"(9339,2,EUR)",2024-09-10T15:24:45.303Z
IE00B441G979,"(8649,2,EUR)",2024-09-10T14:20:06.075Z
