"_metadata_updated_at","surrogate_key","partner_id","instrument","instrument_price","trade_date","cumulative_position","cumulative_position_value"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-09-28","par_1","DE0005933931","162.200000","2024-09-28","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-09-29","par_1","DE0005933931","162.200000","2024-09-29","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-09-30","par_1","DE0005933931","162.200000","2024-09-30","2.492860","404.341892"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-01","par_1","DE0005933931","162.200000","2024-10-01","2.690650","436.423430"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-02","par_1","DE0005933931","162.200000","2024-10-02","2.821730","457.684606"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-03","par_1","DE0005933931","162.200000","2024-10-03","2.953430","479.046346"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-04","par_1","DE0005933931","162.200000","2024-10-04","3.085070","500.398354"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-05","par_1","DE0005933931","162.200000","2024-10-05","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-06","par_1","DE0005933931","162.200000","2024-10-06","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-07","par_1","DE0005933931","162.200000","2024-10-07","3.216510","521.717922"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-08","par_1","DE0005933931","162.200000","2024-10-08","3.413760","553.711872"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-09","par_1","DE0005933931","162.200000","2024-10-09","3.611220","585.739884"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-10","par_1","DE0005933931","162.200000","2024-10-10","4.070210","660.188062"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-11","par_1","DE0005933931","162.200000","2024-10-11","4.267610","692.206342"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-12","par_1","DE0005933931","162.200000","2024-10-12","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-13","par_1","DE0005933931","162.200000","2024-10-13","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-14","par_1","DE0005933931","162.380000","2024-10-14","4.464470","724.940639"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-15","par_1","DE0005933931","162.500000","2024-10-15","4.661630","757.514875"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-16","par_1","DE0005933931","162.500000","2024-10-16","4.859090","789.602125"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-17","par_1","DE0005933931","163.020000","2024-10-17","5.056400","824.294328"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-18","par_1","DE0005933931","163.660000","2024-10-18","5.254340","859.925284"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-19","par_1","DE0005933931","163.660000","2024-10-19","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-20","par_1","DE0005933931","163.660000","2024-10-20","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-21","par_1","DE0005933931","163.660000","2024-10-21","5.451890","892.256317"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-22","par_1","DE0005933931","163.660000","2024-10-22","5.348600","875.351876"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-23","par_1","DE0005933931","163.660000","2024-10-23","5.246240","858.599638"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-24","par_1","DE0005933931","163.660000","2024-10-24","5.443160","890.827566"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-25","par_1","DE0005933931","163.660000","2024-10-25","5.640020","923.045673"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-26","par_1","DE0005933931","163.660000","2024-10-26","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-27","par_1","DE0005933931","163.660000","2024-10-27","0.000000","0.000000"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-28","par_1","DE0005933931","163.660000","2024-10-28","5.837330","955.337428"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-29","par_1","DE0005933931","163.660000","2024-10-29","6.034040","987.530986"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-30","par_1","DE0005933931","163.660000","2024-10-30","6.231740","1019.886568"
"2025-04-27 20:09:20.555792+00","par_1-DE0005933931-2024-10-31","par_1","DE0005933931","163.660000","2024-10-31","6.494650","1062.914419"
